benchmark,alloc,svn,instructions,memory_refs,code_size,svn_const_fold,svn_lexical,svn_value_ident,svn_total
benchmark1,naive,no,305,0,0,0,0,0,0
benchmark1,local,no,317,0,0,0,0,0,0
benchmark1,briggs,no,313,0,0,0,0,0,0
benchmark1,naive,yes,303,0,0,2,0,0,2
benchmark1,local,yes,315,0,0,2,0,0,2
benchmark1,briggs,yes,311,0,0,2,0,0,2
benchmark1f,naive,no,307,0,0,0,0,0,0
benchmark1f,local,no,327,0,0,0,0,0,0
benchmark1f,briggs,no,315,0,0,0,0,0,0
benchmark1f,naive,yes,307,0,0,2,0,0,2
benchmark1f,local,yes,327,0,0,2,0,0,2
benchmark1f,briggs,yes,315,0,0,2,0,0,2
benchmark2,naive,no,4991,0,0,0,0,0,0
benchmark2,local,no,5003,0,0,0,0,0,0
benchmark2,briggs,no,5003,0,0,0,0,0,0
benchmark2,naive,yes,4907,0,0,84,0,0,84
benchmark2,local,yes,4919,0,0,84,0,0,84
benchmark2,briggs,yes,4919,0,0,84,0,0,84
benchmark2f,naive,no,4999,0,0,0,0,0,0
benchmark2f,local,no,5019,0,0,0,0,0,0
benchmark2f,briggs,no,5015,0,0,0,0,0,0
benchmark2f,naive,yes,4999,0,0,84,0,0,84
benchmark2f,local,yes,5019,0,0,84,0,0,84
benchmark2f,briggs,yes,5015,0,0,84,0,0,84
benchmark3,naive,no,1701557,0,0,0,0,0,0
benchmark3,local,no,2464867,0,0,0,0,0,0
benchmark3,briggs,no,2337649,0,0,0,0,0,0
benchmark3,naive,yes,1701557,0,0,0,0,0,0
benchmark3,local,yes,2464867,0,0,0,0,0,0
benchmark3,briggs,yes,2337649,0,0,0,0,0,0
benchmark4,naive,no,19587,0,0,0,0,0,0
benchmark4,local,no,19599,0,0,0,0,0,0
benchmark4,briggs,no,19599,0,0,0,0,0,0
benchmark4,naive,yes,19585,0,0,2,0,0,2
benchmark4,local,yes,19597,0,0,2,0,0,2
benchmark4,briggs,yes,19597,0,0,2,0,0,2
